HDI Rank (2017),Country,2015
168,Afghanistan,0.493
68,Albania,0.776
85,Algeria,0.749
35,Andorra,0.854
147,Angola,0.572
70,Antigua and Barbuda,0.775
47,Argentina,0.822
83,Armenia,0.748
3,Australia,0.936
20,Austria,0.903
80,Azerbaijan,0.758
54,Bahamas,0.807
43,Bahrain,0.832
136,Bangladesh,0.592
58,Barbados,0.797
53,Belarus,0.805
17,Belgium,0.913
106,Belize,0.709
163,Benin,0.508
134,Bhutan,0.603
118,Bolivia (Plurinational State of),0.681
77,Bosnia and Herzegovina,0.755
101,Botswana,0.706
79,Brazil,0.757
39,Brunei Darussalam,0.852
51,Bulgaria,0.807
183,Burkina Faso,0.412
185,Burundi,0.418
125,Cabo Verde,0.647
146,Cambodia,0.571
151,Cameroon,0.548
12,Canada,0.92
188,Central African Republic,0.357
186,Chad,0.407
44,Chile,0.84
86,China,0.743
90,Colombia,0.742
165,Comoros,0.502
137,Congo,0.613
176,Congo (Democratic Republic of the),0.444
63,Costa Rica,0.788
46,Croatia,0.827
73,Cuba,0.772
32,Cyprus,0.86
27,Czechia,0.882
170,Côte d'Ivoire,0.478
11,Denmark,0.926
172,Djibouti,0.47
103,Dominica,0.721
94,Dominican Republic,0.729
86,Ecuador,0.743
115,Egypt,0.691
121,El Salvador,0.674
141,Equatorial Guinea,0.593
179,Eritrea,0.433
30,Estonia,0.866
144,Eswatini (Kingdom of),0.584
173,Ethiopia,0.451
92,Fiji,0.738
15,Finland,0.915
24,France,0.898
110,Gabon,0.694
174,Gambia,0.457
70,Georgia,0.771
5,Germany,0.933
140,Ghana,0.585
31,Greece,0.866
75,Grenada,0.767
127,Guatemala,0.645
175,Guinea,0.443
177,Guinea-Bissau,0.449
125,Guyana,0.651
168,Haiti,0.493
133,Honduras,0.609
7,"Hong Kong, China (SAR)",0.927
45,Hungary,0.834
6,Iceland,0.927
130,India,0.627
116,Indonesia,0.686
60,Iran (Islamic Republic of),0.789
120,Iraq,0.668
4,Ireland,0.929
22,Israel,0.901
28,Italy,0.876
97,Jamaica,0.73
19,Japan,0.905
95,Jordan,0.733
58,Kazakhstan,0.797
142,Kenya,0.578
134,Kiribati,0.621
22,Korea (Republic of),0.898
56,Kuwait,0.802
122,Kyrgyzstan,0.666
139,Lao People's Democratic Republic,0.593
41,Latvia,0.841
80,Lebanon,0.752
159,Lesotho,0.511
181,Liberia,0.432
108,Libya,0.694
17,Liechtenstein,0.912
35,Lithuania,0.852
21,Luxembourg,0.899
161,Madagascar,0.514
171,Malawi,0.47
57,Malaysia,0.795
101,Maldives,0.71
182,Mali,0.418
29,Malta,0.871
106,Marshall Islands,..
159,Mauritania,0.514
65,Mauritius,0.782
74,Mexico,0.767
131,Micronesia (Federated States of),0.627
112,Moldova (Republic of),0.693
92,Mongolia,0.737
50,Montenegro,0.809
123,Morocco,0.655
180,Mozambique,0.432
148,Myanmar,0.569
129,Namibia,0.642
149,Nepal,0.566
10,Netherlands,0.926
16,New Zealand,0.914
124,Nicaragua,0.652
189,Niger,0.347
157,Nigeria,0.527
1,Norway,0.948
48,Oman,0.822
150,Pakistan,0.551
60,Palau,0.793
119,"Palestine, State of",0.687
66,Panama,0.781
153,Papua New Guinea,0.542
110,Paraguay,0.702
89,Peru,0.745
113,Philippines,0.693
33,Poland,0.855
41,Portugal,0.842
37,Qatar,0.854
52,Romania,0.805
49,Russian Federation,0.813
158,Rwanda,0.51
72,Saint Kitts and Nevis,0.773
90,Saint Lucia,0.744
99,Saint Vincent and the Grenadines,0.72
104,Samoa,0.706
143,Sao Tome and Principe,0.58
39,Saudi Arabia,0.854
164,Senegal,0.492
67,Serbia,0.78
62,Seychelles,0.791
184,Sierra Leone,0.413
9,Singapore,0.929
38,Slovakia,0.851
25,Slovenia,0.889
152,Solomon Islands,0.546
113,South Africa,0.692
187,South Sudan,0.399
26,Spain,0.885
76,Sri Lanka,0.766
167,Sudan,0.497
100,Suriname,0.722
7,Sweden,0.929
2,Switzerland,0.942
155,Syrian Arab Republic,0.538
127,Tajikistan,0.645
154,Tanzania (United Republic of),0.528
83,Thailand,0.741
80,The former Yugoslav Republic of Macedonia,0.754
132,Timor-Leste,0.63
165,Togo,0.495
98,Tonga,0.721
69,Trinidad and Tobago,0.783
95,Tunisia,0.728
64,Turkey,0.783
108,Turkmenistan,0.701
162,Uganda,0.505
88,Ukraine,0.743
34,United Arab Emirates,0.86
14,United Kingdom,0.918
13,United States,0.92
55,Uruguay,0.8
105,Uzbekistan,0.698
138,Vanuatu,0.599
78,Venezuela (Bolivarian Republic of),0.775
116,Viet Nam,0.684
178,Yemen,0.483
144,Zambia,0.583
156,Zimbabwe,0.529
n.a,Korea (Democratic People's Rep. of),..
n.a,Monaco,..
n.a,Nauru,..
n.a,San Marino,..
n.a,Somalia,..
n.a,Tuvalu,..
,,
"Last updated: January 31, 2019",,
