country,region,gdp_per_cap_usd,population,suicides_per_100k,gini,HDI,median_age,life_expectancy,household_debt_percent_GDP,happiness,sqrt_suicides,suicide_no
Antigua and Barbuda,LATIN AMER. & CARIB,14853.0,91889.0,1.088269543,37.42333333333333,0.775,31.6,76.483,52.285128571428565,6.162260273972603,1.0432015831084613,1.00000000036727
Argentina,LATIN AMER. & CARIB,14981.0,39699624.0,7.740627468,42.7,0.8220000000000001,31.5,76.068,6.35,6.574,2.7821983157208616,3073.00000003672
Armenia,ASIA,3775.0,2795335.0,2.64726768,32.4,0.748,34.6,74.467,53.7,4.35,1.6270426177577526,74.000000002728
Australia,GLOBAL WEST,60656.0,22240785.0,13.61013112,34.7,0.936,38.6,82.4,120.14,7.284,3.6891911200153347,3027.000000617292
Austria,GLOBAL WEST,46484.0,8219386.0,15.22011498,30.5,0.903,43.8,81.1902439,50.21,7.2,3.9012965767805965,1250.9999998500227
Belgium,GLOBAL WEST,42830.0,10624356.0,17.57282983,28.1,0.913,41.4,80.99268293,59.24,6.937,4.19199592437779,1867.000000413395
Belize,LATIN AMER. & CARIB,5561.0,319835.0,8.129191614,53.3,0.7090000000000001,22.4,74.03399999999998,94.51,6.162260273972603,2.851173725678602,25.9999999986369
Brazil,LATIN AMER. & CARIB,9431.0,191087085.0,5.841839076,51.3,0.757,31.6,74.994,24.44,6.983,2.4169896722989943,11163.000000719336
Chile,LATIN AMER. & CARIB,14729.0,16565725.0,11.09519807,47.7,0.84,34.0,79.646,40.92,6.67,3.330945521920165,1838.0000004815074
Colombia,LATIN AMER. & CARIB,6552.0,44490427.0,5.241577025,51.1,0.742,29.6,76.531,25.26,6.477,2.289449065823479,2331.9999999563966
Croatia,EASTERN EUROPE,12351.0,4001669.0,18.46729452,32.2,0.8270000000000001,42.7,77.27560976,38.5,5.759,4.2973590168846725,738.9999999455388
Cuba,LATIN AMER. & CARIB,8044.0,10832068.0,13.94932159,37.42333333333333,0.772,41.1,78.561,21.5,6.162260273972603,3.7348790596216097,1511.0000001674814
Cyprus,MIDDLE EAST,24718.0,796037.0,5.024892059,35.6,0.86,36.4,80.35,127.74,5.689,2.241627100790852,39.99999999970183
Czech Republic,EASTERN EUROPE,18703.0,9989325.0,13.88482205,25.9,0.882,41.7,78.57804878,30.36,6.505,3.7262342988599095,1387.0000002461625
Denmark,GLOBAL WEST,55972.0,5383060.0,10.47731216,28.5,0.926,42.0,80.70243902,119.09,7.527,3.236867646351948,563.999999960096
Ecuador,LATIN AMER. & CARIB,6832.0,14534024.0,7.382676676,46.5,0.743,27.4,76.143,8.169,5.975,2.717108145805021,1072.9999999322422
Estonia,EASTERN EUROPE,18149.0,1243450.0,15.68217459,34.6,0.866,42.4,77.5902439,40.3,5.4289999999999985,3.960072548577867,194.999999939355
Finland,GLOBAL WEST,44862.0,5181797.0,14.10707521,26.8,0.915,42.4,81.4804878,66.69,7.4060000000000015,3.7559386589772736,731.0000000195237
Georgia,ASIA,4046.0,3458400.0,5.551700208,38.5,0.7709999999999999,38.0,72.973,36.7,4.297,2.3562046192977384,191.999999993472
