country,year,region,GDP per capita usd,population,suicides/100k pop,HDI for year
Antigua and Barbuda,2012,LATIN AMER. & CARIB    ,13657,88703,0.0,9.371999999999998
Antigua and Barbuda,2013,LATIN AMER. & CARIB    ,13287,89779,0.0,9.371999999999998
Antigua and Barbuda,2014,LATIN AMER. & CARIB    ,14093,90837,0.0,9.395999999999997
Antigua and Barbuda,2015,LATIN AMER. & CARIB    ,14853,91889,1.0882695426003113,0.0
Argentina,2011,LATIN AMER. & CARIB    ,13946,38015739,7.659985249793514,9.815999999999997
Argentina,2012,LATIN AMER. & CARIB    ,14203,38441778,8.449140932034933,9.971999999999996
Argentina,2013,LATIN AMER. & CARIB    ,14206,38859125,7.6867402444084885,9.996
Argentina,2014,LATIN AMER. & CARIB    ,13400,39276555,8.22628155651635,10.032000000000002
Argentina,2015,LATIN AMER. & CARIB    ,14981,39699624,7.740627467907504,0.0
Armenia,2011,CENTRAL ASIA,3798,2670366,2.5090193628888326,8.676
Armenia,2012,CENTRAL ASIA,3773,2814300,2.8070923497850266,8.735999999999999
Armenia,2013,CENTRAL ASIA,3957,2810664,2.383778352730885,8.772
Armenia,2014,CENTRAL ASIA,4142,2803029,2.069190151082989,8.796
Armenia,2015,CENTRAL ASIA,3775,2795335,2.647267679902409,0.0
Armenia,2016,CENTRAL ASIA,3788,2400033,2.7916282817777924,0.0
Aruba,2011,LATIN AMER. & CARIB    ,27066,95488,9.425268096514746,0.0
Australia,2011,OCEANIA                            ,66770,20881910,11.45489086007937,11.159999999999998
Australia,2012,OCEANIA                            ,72669,21238909,12.147516616790439,11.184000000000003
Australia,2013,OCEANIA                            ,72856,21600180,12.073973457628593,11.196
Australia,2014,OCEANIA                            ,66809,21927587,13.184305231578831,11.220000000000004
Australia,2015,OCEANIA                            ,60656,22240785,13.610131117224505,0.0
Austria,2011,WESTERN EUROPE                     ,53923,7995146,16.109774605742036,10.572000000000001
Austria,2012,WESTERN EUROPE                     ,50979,8031276,15.88788630847701,10.608000000000002
Austria,2013,WESTERN EUROPE                     ,53229,8079615,15.978484123315283,10.608000000000002
Austria,2014,WESTERN EUROPE                     ,54278,8141165,16.14019615128793,10.62
Austria,2015,WESTERN EUROPE                     ,46484,8219386,15.220114981824675,0.0
Austria,2016,WESTERN EUROPE                     ,46976,7484629,16.046219525376607,0.0
Bahamas,2011,LATIN AMER. & CARIB    ,29761,338383,1.1820924810052515,9.336000000000002
Bahamas,2012,LATIN AMER. & CARIB    ,31204,343558,1.4553583383300637,9.395999999999997
Bahamas,2013,LATIN AMER. & CARIB    ,30455,348959,1.4328330835427658,9.431999999999997
Bahrain,2011,MIDDLE EAST,26078,1103462,1.6312297115804621,9.804
Bahrain,2012,MIDDLE EAST,25587,1201778,1.580990831917376,9.828000000000003
Bahrain,2013,MIDDLE EAST,26793,1214492,0.41169476620677614,9.851999999999999
Bahrain,2014,MIDDLE EAST,27503,1213966,0.7413716693877752,9.888
Barbados,2011,LATIN AMER. & CARIB    ,17708,263203,0.0,9.431999999999997
Barbados,2012,LATIN AMER. & CARIB    ,17620,264270,0.0,9.516
Barbados,2013,LATIN AMER. & CARIB    ,17395,265165,0.0,9.42
Belarus,2011,EASTERN EUROPE                     ,6902,8947320,24.27542549053795,9.516
Belarus,2013,EASTERN EUROPE                     ,8477,8910240,21.346226364273015,9.552
Belarus,2014,EASTERN EUROPE                     ,8849,8906977,19.546474634435455,9.575999999999999
Belgium,2011,WESTERN EUROPE                     ,50893,10355126,20.16392654227481,10.631999999999998
Belgium,2012,WESTERN EUROPE                     ,47678,10442637,19.40122978515867,10.668
Belgium,2013,WESTERN EUROPE                     ,49489,10526149,18.002785254132352,10.656
Belgium,2014,WESTERN EUROPE                     ,50173,10578848,17.950914882225362,10.680000000000001
Belgium,2015,WESTERN EUROPE                     ,42830,10624356,17.57282982610899,0.0
Belize,2011,LATIN AMER. & CARIB    ,5098,291662,11.314466745753647,8.532000000000002
Belize,2012,LATIN AMER. & CARIB    ,5264,298946,6.021154322185278,8.592
Belize,2013,LATIN AMER. & CARIB    ,5272,305888,5.557589706036196,8.58
Belize,2014,LATIN AMER. & CARIB    ,5448,312780,7.673124880107423,8.58
Belize,2015,LATIN AMER. & CARIB    ,5561,319835,8.129191614426189,0.0
Bosnia and Herzegovina,2011,EASTERN EUROPE                     ,5076,3673312,0.13611694296591198,8.688
Bosnia and Herzegovina,2014,EASTERN EUROPE                     ,5079,3654169,8.5655589547172,8.796
Brazil,2011,LATIN AMER. & CARIB    ,14245,183656441,5.348029149710029,8.904
Brazil,2012,LATIN AMER. & CARIB    ,13283,185591215,5.5471375625187855,8.952000000000002
Brazil,2013,LATIN AMER. & CARIB    ,13191,187458852,5.608164078589364,9.024
Brazil,2014,LATIN AMER. & CARIB    ,12975,189285554,5.616382114400553,9.06
Brazil,2015,LATIN AMER. & CARIB    ,9431,191087085,5.8418390756235565,0.0
Bulgaria,2011,EASTERN EUROPE                     ,8137,7056527,10.812684483457655,9.300000000000002
Bulgaria,2012,EASTERN EUROPE                     ,7745,6959652,12.529362100288923,9.336000000000002
Bulgaria,2013,EASTERN EUROPE                     ,8057,6920644,10.418105598265132,9.348
Bulgaria,2014,EASTERN EUROPE                     ,8241,6883874,10.517333699018895,9.384
Cabo Verde,2011,SUB-SAHARAN AFRICA                 ,4124,452179,9.288357044444789,0.0
Canada,2011,NORTHERN AMERICA                   ,54841,32615418,11.430176979488659,10.908000000000001
Canada,2012,NORTHERN AMERICA                   ,55347,32961196,11.910975560474201,10.92
Canada,2013,NORTHERN AMERICA                   ,55310,33314836,12.168752684239537,10.944000000000003
Chile,2011,LATIN AMER. & CARIB    ,15854,15910783,12.739787853306778,9.851999999999999
Chile,2012,LATIN AMER. & CARIB    ,16617,16075247,11.45239012501643,9.924000000000001
Chile,2013,LATIN AMER. & CARIB    ,17140,16242244,10.700491877846435,9.959999999999999
Chile,2014,LATIN AMER. & CARIB    ,15883,16406867,10.903970879997992,9.984000000000002
Chile,2015,LATIN AMER. & CARIB    ,14729,16565725,11.095198067093351,0.0
Colombia,2011,LATIN AMER. & CARIB    ,7885,42538305,4.805080973489658,8.556
Colombia,2012,LATIN AMER. & CARIB    ,8586,43055864,4.9215131300117445,8.58
